CD;Pto Op;Tienda;Formato;Region Geografica;Zona Geografica;CALENDARIZADO;DIA DE ENTREGA
Malvinas;854;MINI - AV MITRE 3125 MORENO;Express;CABA Y GBA;GBA;MJ;XV
Malvinas;855;MINI - MITRE 4202 CABA;Express;CABA Y GBA;Capital Federal;LXS;LMJ
Malvinas;859;MINI - THAMES 647;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;860;MINI LOPEZ Y PLANES 265 CBA;Express;CENTRO;C¢rdoba;LXV;MXV
Malvinas;861;MINI - P.BUSTO 122 CBA;Express;CENTRO;C¢rdoba;LJV;MXS
Malvinas;864;MINI FRAY CAYETANO 635;Express;CABA Y GBA;Capital Federal;MJV;XVS
Malvinas;865;MINI SAN MARTIN 623 CBA;Express;CENTRO;C¢rdoba;LXV;MXV
Malvinas;867;MINI 9 DE JULIO 156 CBA;Express;CENTRO;C¢rdoba;LJV;MXS
Malvinas;869;MINI - AV BELGRANO 140 Cba;Express;CENTRO;C¢rdoba;LJV;MXS
Malvinas;870;MINI - Godoy Cruz 2681;Express;CABA Y GBA;Capital Federal;LXV;MJS
Malvinas;871;MINI - JULIO A ROCA 177 Cba;Express;CENTRO;C¢rdoba;MV;MJ
Malvinas;872;Mini Av San Martin 4840 Cba;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;873;Mini Santiago Derqui 33 Cba;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;874;Mini Caraffa Claudio Cuenca 1784 Cb;Express;CENTRO;C¢rdoba;LJV;MXS
Malvinas;876;MINI - LUIS AGOTE 3092 CBA;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;877;MINI - AV CABILDO 4300;Express;CABA Y GBA;Capital Federal;MJS;LXV
Malvinas;6001;MINI - VIDAL 304 CBA;Express;CENTRO;C¢rdoba;XV;MV
Malvinas;6004;MINI - SAN JUAN 490 CBA;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;6005;MINI - RIVADEO 1487;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;6006;MINI - LOS GRANADEROS 2269 CBA;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;6010;MINI - FUNES 1791 CBA;Express;CENTRO;C¢rdoba;LX;XV
Malvinas;6011;MINI - AV - COLON 3060 Cba;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;6030;MINI - AV CASTRO BARROS 858 Cba;Express;CENTRO;C¢rdoba;MJ;JS
Malvinas;6035;Santa Ana 2405, C¢rdoba Capital;Express;CORDOBA;C¢rdoba;MJ;XV
Malvinas;6032;MINI - AV BOYACA 613 CABA;Express;CENTRO;CAPITAL Y GBA;LXV;MJS
Malvinas;6036;C. Dr. Juan Felipe Aranguren 617, Capital Federal;Express;CENTRO;CAPITAL Y GBA;LXV;MJS
